Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%.1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
Pete Alonso,NYM,28,6,22,26,3,1,1,0,1,4,2,4,0,3,0,0,0,1,0,0,.136,10,7,2,1,98,42,56,0,0,0,15.4%,11.5%,1.33,.269,.318,.587,.182,.111,1.43,10.5%,52.6%,36.8%,14.3%,14.3%,0.0%,0.0%,.268,-1.2,2,-1.0,-0.1,0.8,-0.4,-1.0,-0.1,($0.8),2.6,69,-0.19,-0.44,0.25,-3.03,-0.32,0.90,,0,-0.22,0.00,52.0%,94.9,29.6%,85.1,2.0%,85.0,2.0%,78.0,14.3%,86.8,,,,,,,-0.9,-0.2,0.0,0.0,-0.3,,,-1.69,-0.82,-1.92,2.13,-2.37,,,29.5%,62.2%,41.8%,55.6%,82.6%,70.7%,37.8%,50.0%,12.2%,-0.3,29.6%,,6.1%,,,22.4%,23.5%,4.1%,,,14.3%,,,,94.5,,86.6,,,95.3,85.1,78.4,,,86.9,,,0.4,,-1.8,,,-5.8,-2.0,-0.1,,,-0.2,,,8.8,,4.4,,,4.5,1.0,-1.8,,,3.7,,,0.7,,-0.5,,,-1.6,0.4,-0.1,,,-0.3,,,2.53,,-8.73,,,-7.21,1.68,-3.19,,,-2.37,,,24.1%,63.6%,41.8%,46.2%,82.1%,70.7%,44.9%,18.8,-0.5,0.0,-0.1,28 - 28,-1.3,0.1,-0.2,42.1%,26.3%,31.6%,21.1%,57.9%,21.1%,30.8%,14.3%,,4.1%,29.6%,3.1%,,,,22.4%,26.5%,,87.0,,78.9,94.7,86.0,,,,95.4,85.5,,-0.3,,-0.3,0.3,-0.5,,,,-5.6,-1.9,,1.9,,-3.4,7.8,3.4,,,,3.2,-0.2,,-0.3,,-0.1,0.7,-0.1,,,,-1.6,0.0,,-2.37,,-3.19,2.53,-3.27,,,,-7.21,-0.15,,26.5%,57.1%,41.8%,46.2%,82.1%,70.7%,50.0%,18.8,,54,174,51,83,76,110,37,50,119,105,101,99,81,125,119,112,69,83.1,4.5,2,10.5%,104.1,5,26.3%,19,15.3%,27.6%,.276,.533,.408,-0.1
Michael Harris II,ATL,22,5,18,20,4,3,1,0,0,3,1,2,0,3,0,0,0,1,0,0,.222,10,4,1,0,79,25,54,0,0,0,10.0%,15.0%,0.67,.300,.278,.578,.056,.267,2.50,6.7%,66.7%,26.7%,0.0%,0.0%,0.0%,0.0%,.266,-0.9,1,-1.0,0.5,0.6,0.1,0.2,0.0,$0.2,2.6,59,0.01,-0.18,0.19,-1.02,-0.12,0.52,,0,-0.07,0.09,49.4%,94.0,22.8%,83.6,8.9%,87.9,10.1%,81.3,5.1%,83.8,3.8%,90.7,,,,,-0.7,0.0,-0.2,0.0,-0.2,-0.1,,-1.76,-0.24,-3.26,-0.04,-5.72,-4.44,,41.7%,64.5%,50.6%,75.0%,90.0%,82.5%,39.2%,75.0%,8.9%,0.0,19.0%,,8.9%,1.3%,,30.4%,21.5%,11.4%,,,7.6%,,,,94.4,,87.9,88.1,,93.8,83.6,81.2,,,86.4,,,1.8,,0.4,-7.1,,-1.3,1.7,0.7,,,1.4,,,8.6,,4.8,1.0,,6.7,1.3,-3.6,,,0.3,,,-0.4,,-0.2,0.0,,-0.3,-0.9,0.8,,,-0.4,,,-2.87,,-3.26,3.58,,-1.07,-5.35,9.26,,,-6.63,,,38.5%,62.5%,50.6%,73.3%,88.0%,82.5%,50.6%,18.9,0.5,0.0,0.2,22 - 22,-1.0,0.1,-0.2,13.3%,46.7%,40.0%,26.7%,33.3%,40.0%,25.0%,5.6%,,12.5%,22.2%,9.7%,4.2%,,,23.6%,22.2%,,83.9,,81.7,95.4,88.5,90.9,,,94.3,84.3,,5.0,,1.2,-2.0,1.6,-6.2,,,-1.0,2.3,,-1.0,,-4.9,8.2,3.6,-1.1,,,4.8,-0.2,,-0.2,,0.8,0.1,-0.2,-0.1,,,-1.3,-0.9,,-5.72,,9.26,0.92,-3.26,-4.44,,,-7.51,-5.78,,45.7%,59.5%,52.8%,68.8%,90.9%,81.6%,51.4%,18.9,,88,113,66,93,67,34,89,32,151,76,0,31,144,158,151,64,131,93.2,0.3,2,13.3%,107.4,9,60.0%,15,16.5%,25.3%,.269,.536,.389,-0.2
Willy Adames,MIL,27,5,19,22,5,5,0,0,0,4,3,2,0,5,0,1,0,1,0,0,.263,5,7,3,3,90,36,54,0,0,0,9.1%,22.7%,0.40,.318,.263,.581,.000,.333,0.71,20.0%,33.3%,46.7%,42.9%,0.0%,0.0%,0.0%,.266,-1.0,2,-1.1,1.2,0.7,0.2,1.1,0.1,$0.9,2.6,61,-0.04,-0.25,0.21,0.01,0.00,0.88,,0,-0.07,0.03,48.9%,89.5,28.4%,85.2,10.2%,88.6,5.7%,81.0,4.5%,84.8,2.3%,84.0,,,2.2%,,-0.8,-0.2,-0.4,0.2,-0.2,0.1,,-1.92,-0.96,-4.11,4.25,-4.19,6.53,,33.3%,70.6%,47.7%,66.7%,91.7%,81.0%,38.6%,54.5%,8.9%,-0.1,28.4%,,13.6%,2.3%,,20.5%,21.6%,9.1%,,,4.5%,,,,88.2,,89.0,84.1,,91.2,84.3,82.4,,,84.6,,,-3.1,,1.0,-2.9,,-6.2,-3.2,6.3,,,-7.5,,,8.4,,5.4,3.6,,4.6,0.9,-1.1,,,2.1,,,-0.9,,0.1,0.1,,0.1,-0.7,0.2,,,-0.2,,,-3.69,,0.97,6.53,,0.59,-3.80,2.62,,,-4.19,,,27.3%,68.2%,47.7%,66.7%,86.7%,81.0%,50.0%,19.2,1.4,-0.1,0.0,27 - 27,-1.1,0.1,0.0,46.7%,40.0%,13.3%,33.3%,53.3%,13.3%,31.8%,4.5%,,2.3%,29.5%,10.2%,2.3%,,,19.3%,31.8%,,85.1,,77.0,88.9,89.0,84.6,,,91.6,85.5,,-7.1,,8.4,-2.9,0.4,-2.4,,,-5.9,-0.1,,0.5,,-8.7,7.1,4.0,1.5,,,3.0,-0.1,,-0.2,,-0.1,-1.2,-0.3,0.1,,,0.4,0.0,,-4.19,,-5.98,-4.53,-2.98,6.53,,,2.11,0.02,,28.3%,69.0%,47.7%,53.8%,93.1%,81.0%,47.7%,19.2,,104,103,100,98,63,0,111,95,76,134,0,110,124,53,189,103,44,86.8,27.9,0,0.0%,105.1,6,40.0%,15,13.3%,22.2%,.203,.239,.256,0.1
J.P. Crawford,SEA,28,6,18,22,3,2,1,0,0,2,0,4,0,7,0,0,0,0,0,0,.167,4,4,2,0,97,38,59,1,1,0,18.2%,31.8%,0.57,.318,.222,.540,.056,.273,1.00,20.0%,40.0%,40.0%,0.0%,0.0%,25.0%,0.0%,.265,-1.0,2,-0.9,0.7,0.7,0.3,0.9,0.1,$0.7,1.3,67,0.09,-0.31,0.40,-0.27,-0.03,0.98,,0,0.01,0.07,47.4%,94.2,22.1%,84.6,6.3%,86.3,10.5%,78.3,13.7%,84.4,,,,,2.1%,,-0.7,0.0,0.3,0.3,-0.3,,,-1.58,-0.05,4.38,2.81,-2.44,,,29.6%,53.7%,40.0%,68.8%,90.9%,81.6%,43.2%,72.7%,7.2%,0.1,37.9%,,11.6%,,,6.3%,16.8%,12.6%,1.1%,,13.7%,,,,94.1,,89.6,,,93.0,85.9,77.4,82.0,,84.4,,,-3.2,,2.1,,,0.3,0.1,-0.5,4.2,,-8.6,,,10.1,,4.9,,,8.3,2.1,-2.8,-8.4,,4.3,,,0.0,,-0.5,,,-0.4,0.8,0.2,-0.2,,-0.3,,,-0.12,,-4.62,,,-7.22,5.10,1.80,-24.63,,-2.44,,,25.0%,52.9%,40.0%,54.5%,92.6%,81.6%,53.7%,18.3,1.0,0.0,0.1,28 - 28,-0.8,0.0,0.0,36.4%,45.5%,18.2%,9.1%,54.5%,36.4%,50.0%,10.5%,,10.5%,40.0%,14.7%,3.2%,,,4.2%,16.8%,,84.5,,79.0,94.8,89.6,86.3,,,92.9,84.4,,-9.2,,2.2,-2.6,0.0,-6.0,,,-3.3,-0.3,,4.1,,-6.8,8.8,3.0,-1.0,,,8.3,1.5,,-0.3,,0.3,-0.1,-0.4,0.0,,,-0.4,0.4,,-3.08,,2.81,-0.16,-2.87,-0.31,,,-10.79,2.49,,25.0%,55.3%,40.0%,58.3%,92.3%,81.6%,49.5%,18.3,,67,204,145,99,54,34,93,108,92,105,0,90,130,73,54,107,112,91.6,16.5,0,0.0%,103.8,5,45.5%,11,21.6%,28.9%,.237,.365,.361,0.0
Brandon Lowe,TBR,28,5,15,18,3,3,0,0,0,2,0,3,0,5,0,0,0,0,0,0,.200,3,4,3,1,77,30,47,1,0,0,16.7%,27.8%,0.60,.333,.200,.533,.000,.300,0.75,30.0%,30.0%,40.0%,25.0%,0.0%,33.3%,0.0%,.265,-0.8,1,-0.7,0.1,0.6,-0.1,0.0,0.0,$0.0,1.6,67,-0.05,-0.22,0.17,0.08,0.03,0.69,0.96,1,-0.06,-0.01,49.4%,93.6,16.9%,84.3,1.3%,89.0,10.4%,81.9,13.0%,85.1,9.1%,86.1,,,,,0.2,0.2,0.0,0.0,-0.5,-0.7,,0.58,1.47,3.58,-0.43,-5.14,-10.08,,36.0%,81.5%,51.9%,55.6%,72.7%,65.0%,35.1%,61.1%,18.2%,0.1,29.9%,,1.3%,5.2%,,19.5%,15.6%,5.2%,5.2%,,18.2%,,,,92.6,,88.8,85.7,,95.1,84.4,84.6,79.4,,85.1,,,-0.4,,1.8,-1.0,,-8.9,0.1,-1.0,5.0,,-9.6,,,9.2,,9.1,2.2,,4.7,0.2,-0.5,-6.5,,2.1,,,0.4,,0.0,-0.5,,-0.3,0.2,-0.1,0.1,,-0.8,,,1.96,,3.58,-11.64,,-1.74,1.96,-2.13,1.28,,-5.62,,,34.1%,75.8%,51.9%,46.7%,76.0%,65.0%,42.9%,19.5,0.0,0.0,0.1,28 - 28,-0.7,0.0,0.0,60.0%,30.0%,10.0%,30.0%,40.0%,30.0%,44.4%,13.0%,,6.5%,27.3%,3.9%,9.1%,,,19.5%,20.8%,,85.5,,79.5,93.3,92.3,86.4,,,95.4,85.4,,-9.3,,5.9,-0.8,0.0,-4.2,,,-7.2,0.0,,1.1,,-6.9,8.3,6.3,-0.1,,,3.1,-1.2,,-0.5,,0.1,0.3,0.4,-0.7,,,-0.5,0.1,,-5.14,,2.02,1.50,13.57,-9.92,,,-3.32,0.35,,33.3%,74.3%,51.9%,42.9%,76.9%,65.0%,45.5%,19.5,,81,187,126,103,49,0,103,162,69,105,0,149,86,40,180,79,92,86.9,19.9,0,0.0%,108.2,3,30.0%,10,9.1%,27.3%,.169,.196,.285,-0.1
Elias Diaz,COL,32,6,18,21,3,1,2,0,0,1,1,2,0,7,1,0,0,0,0,0,.167,8,3,0,0,70,22,48,1,0,0,9.5%,33.3%,0.29,.286,.278,.563,.111,.273,2.67,0.0%,72.7%,27.3%,0.0%,0.0%,12.5%,0.0%,.263,-1.0,2,-1.4,1.3,0.7,0.4,1.1,0.1,$0.9,0.8,45,0.13,-0.24,0.38,-0.07,-0.01,0.76,,0,-0.05,0.22,51.4%,93.6,27.1%,84.5,2.9%,87.0,1.4%,80.0,17.1%,81.7,,,,,,,-0.5,0.0,0.7,-0.2,-0.9,,,-1.41,-0.09,34.39,-21.51,-7.49,,,46.3%,72.4%,57.1%,52.6%,85.7%,70.0%,41.4%,81.0%,17.1%,0.2,41.4%,,5.7%,,,10.0%,24.3%,1.4%,,,17.1%,,,,93.2,,87.2,,,95.1,84.0,79.9,,,81.6,,,1.1,,-0.3,,,-3.5,3.0,-7.8,,,-6.0,,,9.4,,4.9,,,8.9,2.9,-1.3,,,4.0,,,-0.3,,0.8,,,-0.2,-0.1,-0.2,,,-0.9,,,-0.95,,19.26,,,-3.33,-0.55,-21.51,,,-7.35,,,41.7%,73.5%,57.1%,46.7%,84.0%,70.0%,48.6%,19.9,1.6,0.0,0.0,32 - 32,-1.3,0.1,0.2,81.8%,9.1%,9.1%,9.1%,54.5%,36.4%,42.9%,17.1%,,1.4%,41.4%,4.3%,,,,10.0%,25.7%,,82.2,,79.9,93.5,87.2,,,,95.1,84.4,,-5.4,,-8.1,1.1,0.2,,,,-3.1,3.5,,1.5,,-3.1,7.8,4.3,,,,7.5,1.1,,-0.9,,-0.2,-0.3,0.7,,,,-0.2,-0.1,,-7.35,,-21.51,-0.90,24.26,,,,-3.56,-0.28,,41.7%,73.5%,57.1%,46.7%,84.0%,70.0%,48.6%,19.9,0.3,66,108,147,88,67,67,91,0,165,78,0,193,28,36,52,105,119,88.8,8.1,0,0.0%,108.0,4,36.4%,11,11.4%,28.6%,.094,.128,.132,0.1
Jose Miranda,MIN,25,5,17,21,3,3,0,0,0,2,2,4,0,3,0,0,0,0,0,0,.176,6,4,4,0,73,33,40,1,0,0,19.0%,14.3%,1.33,.333,.176,.510,.000,.214,1.50,28.6%,42.9%,28.6%,0.0%,0.0%,16.7%,0.0%,.260,-1.1,1,-1.0,0.0,0.7,0.1,0.0,0.0,$0.0,1.3,60,0.08,-0.25,0.33,0.40,0.04,1.00,,0,-0.04,0.12,42.5%,94.0,39.7%,83.7,8.2%,87.0,2.7%,78.5,6.8%,87.2,,,,,,,-0.7,0.1,-0.4,0.1,-0.2,,,-2.14,0.32,-6.14,4.43,-4.85,,,17.1%,78.1%,43.8%,57.1%,80.0%,75.0%,43.8%,57.1%,11.0%,0.2,24.7%,,2.7%,,,19.2%,39.7%,6.8%,,,6.8%,,,,95.6,,86.1,,,91.2,84.1,81.7,,,87.4,,,-1.7,,1.2,,,-8.9,4.8,3.0,,,-6.1,,,9.8,,2.9,,,7.0,1.0,-7.9,,,3.5,,,0.1,,0.1,,,-0.9,-0.1,0.0,,,-0.2,,,0.30,,6.15,,,-6.47,-0.42,-0.37,,,-4.85,,,13.5%,75.0%,43.8%,40.0%,77.8%,71.9%,49.3%,19.8,0.1,-0.1,0.2,25 - 25,-0.8,0.0,0.1,42.9%,21.4%,35.7%,21.4%,50.0%,28.6%,33.3%,6.8%,,6.8%,30.1%,5.5%,,,,11.0%,39.7%,,87.4,,81.7,94.5,88.6,,,,92.0,83.8,,-5.8,,3.4,-3.3,3.4,,,,-9.6,5.3,,2.1,,-9.6,8.9,3.6,,,,3.8,-0.4,,-0.2,,0.0,0.0,-0.3,,,,-0.8,0.2,,-4.85,,-0.37,0.12,-6.86,,,,-9.43,0.52,,15.8%,74.3%,43.8%,33.3%,80.8%,71.9%,47.9%,19.8,,71,214,65,103,43,0,73,155,99,75,0,106,61,144,128,98,88,87.1,6.9,0,0.0%,101.3,4,28.6%,14,11.0%,21.9%,.251,.320,.351,-0.1
Max Muncy,LAD,32,5,20,23,3,2,0,0,1,3,1,2,0,11,1,0,0,0,0,0,.150,2,5,2,1,94,34,60,0,0,0,8.7%,47.8%,0.18,.261,.300,.561,.150,.250,0.40,22.2%,22.2%,55.6%,20.0%,20.0%,0.0%,0.0%,.258,-1.2,2,-1.2,0.2,0.7,0.1,-0.3,0.0,($0.2),2.6,58,-0.20,-0.39,0.19,-2.64,-0.28,0.86,,0,-0.17,-0.06,34.0%,94.3,27.7%,85.1,2.1%,90.0,23.4%,82.0,12.8%,83.6,,,,,,,1.0,-1.8,0.3,-0.9,0.1,,,3.07,-6.86,17.18,-4.28,0.97,,,34.5%,52.8%,41.5%,30.0%,78.9%,53.8%,38.3%,69.6%,19.1%,-0.1,28.7%,,3.2%,,,5.3%,26.6%,16.0%,7.4%,,12.8%,,,,94.1,,88.6,,,94.6,84.9,80.8,84.0,,83.6,,,-4.4,,0.0,,,-9.4,-0.5,4.3,1.7,,-7.7,,,9.1,,4.8,,,4.8,0.8,-5.0,-5.0,,2.3,,,1.3,,0.3,,,-0.3,-1.7,-0.7,-0.3,,0.1,,,4.79,,9.98,,,-6.19,-6.93,-4.71,-3.81,,0.97,,,33.9%,52.6%,41.5%,26.3%,80.0%,53.8%,40.4%,19.9,0.3,0.0,-0.1,32 - 32,-1.3,0.1,0.0,55.6%,22.2%,22.2%,11.1%,55.6%,33.3%,60.9%,12.8%,,23.4%,28.7%,2.1%,,,,5.3%,27.7%,,83.8,,82.1,94.3,89.0,,,,94.9,85.3,,-7.3,,4.3,-3.7,-1.4,,,,-8.9,0.0,,1.1,,-6.5,8.0,5.3,,,,3.6,-0.7,,0.1,,-1.0,1.3,0.5,,,,-0.3,-2.0,,0.97,,-4.42,4.79,25.89,,,,-6.19,-7.50,,34.5%,51.3%,41.5%,26.3%,80.0%,53.8%,41.5%,19.9,,59,98,210,81,72,91,83,106,50,159,142,131,69,88,63,107,109,93.7,27.1,3,33.3%,109.7,5,55.6%,9,22.3%,41.5%,.138,.290,.264,-0.1
Francisco Lindor,NYM,29,6,18,25,2,1,1,0,0,1,1,5,0,6,1,1,0,1,0,0,.111,4,5,4,1,106,51,55,0,0,0,20.0%,24.0%,0.83,.320,.167,.487,.056,.154,0.80,30.8%,30.8%,38.5%,20.0%,0.0%,0.0%,0.0%,.255,-1.4,2,-1.2,0.8,0.8,0.2,0.8,0.1,$0.7,0.4,60,-0.34,-0.46,0.12,-2.88,-0.31,1.00,,0,-0.22,-0.12,45.3%,95.4,21.7%,85.3,4.7%,86.2,9.4%,81.3,18.9%,87.7,,,,,,,-1.8,-0.1,-0.6,0.5,0.2,,,-3.70,-0.56,-11.01,5.24,0.76,,,21.7%,78.4%,41.5%,46.7%,75.9%,65.9%,34.9%,36.0%,14.2%,0.1,37.7%,,7.5%,,,7.5%,17.9%,7.5%,2.8%,,18.9%,,,,95.8,,86.5,,,93.2,85.2,80.2,83.0,,87.7,,,0.4,,-1.0,,,3.6,1.2,0.8,0.6,,-0.2,,,9.0,,5.3,,,2.9,2.3,-3.8,-4.1,,2.7,,,-1.3,,-0.6,,,-0.5,-0.1,0.8,-0.2,,0.1,,,-3.22,,-7.96,,,-6.12,-0.76,9.45,-6.22,,0.61,,,21.7%,67.4%,41.5%,46.2%,71.0%,63.6%,43.4%,19.5,1.0,-0.1,0.0,29 - 29,-1.1,0.1,0.2,69.2%,15.4%,15.4%,15.4%,46.2%,38.5%,44.0%,18.9%,,10.4%,36.8%,4.7%,,,,8.5%,20.8%,,87.8,,81.1,95.9,86.6,,,,93.8,85.5,,-0.4,,1.1,0.2,-1.7,,,,3.9,0.9,,1.1,,-5.7,7.9,4.0,,,,2.1,1.0,,0.1,,0.6,-1.2,-0.6,,,,-0.6,-0.2,,0.61,,5.18,-3.06,-11.63,,,,-6.45,-0.90,,20.3%,73.8%,41.5%,38.5%,74.2%,63.6%,39.6%,19.5,,44,226,106,99,40,34,51,147,70,110,0,163,48,61,87,89,126,93.4,19.4,1,7.7%,109.1,7,53.8%,13,10.4%,24.5%,.170,.247,.344,0.1
Jake McCarthy,ARI,25,5,16,19,3,3,0,0,0,2,1,1,0,3,2,0,0,0,2,1,.188,3,5,4,1,63,28,35,0,1,1,5.3%,15.8%,0.33,.316,.188,.503,.000,.231,0.60,33.3%,25.0%,41.7%,20.0%,0.0%,0.0%,100.0%,.254,-1.1,1,-1.1,0.2,0.6,-0.2,-0.4,0.0,($0.3),6.3,52,0.30,-0.32,0.62,-0.25,-0.03,1.25,,0,-0.07,0.32,54.0%,94.5,15.9%,82.8,7.9%,89.8,7.9%,78.2,11.1%,86.6,3.2%,90.5,,,,,-0.5,-0.4,-0.4,-0.1,0.1,0.1,,-1.44,-3.70,-7.83,-2.12,2.01,4.13,,27.5%,78.3%,46.0%,63.6%,88.9%,79.3%,36.5%,52.6%,9.5%,0.0,38.1%,,11.1%,1.6%,,14.3%,14.3%,9.5%,,,11.1%,,,,94.4,,90.5,88.9,,94.1,83.1,79.6,,,86.7,,,-0.6,,-0.2,-8.7,,-9.9,-0.6,-4.9,,,-6.4,,,9.3,,3.7,6.3,,6.7,2.1,-3.4,,,4.7,,,-0.2,,-0.4,0.0,,-0.2,-0.1,-0.4,,,0.1,,,-0.99,,-6.06,4.00,,-2.34,-0.83,-6.18,,,2.01,,,27.8%,70.4%,46.0%,70.0%,84.2%,79.3%,42.9%,17.5,0.0,-0.1,0.0,25 - 25,-1.1,0.1,0.1,30.8%,38.5%,30.8%,23.1%,61.5%,15.4%,21.1%,12.7%,,6.3%,33.3%,12.7%,,,,14.3%,20.6%,,87.5,,77.9,94.7,94.4,,,,94.5,83.7,,-6.2,,-5.0,0.0,-1.7,,,,-9.3,-0.7,,2.8,,-5.8,8.3,5.7,,,,5.0,-1.3,,0.2,,-0.1,-0.7,0.1,,,,-0.2,-0.4,,2.26,,-3.02,-3.51,1.38,,,,-2.34,-2.75,,27.8%,70.4%,46.0%,70.0%,84.2%,79.3%,42.9%,17.5,,74,59,69,98,45,0,77,159,57,119,0,73,119,122,131,119,50,85.3,22.5,0,0.0%,101.0,2,15.4%,13,9.5%,19.0%,.177,.262,.229,-0.1
Brandon Drury,LAA,30,4,16,17,4,2,2,0,0,0,2,0,0,3,0,1,0,0,0,0,.250,7,4,3,1,67,19,48,0,0,0,0.0%,17.6%,0.00,.235,.375,.610,.125,.286,1.75,21.4%,50.0%,28.6%,25.0%,0.0%,0.0%,0.0%,.252,-1.0,1,-1.0,0.2,0.5,-0.1,-0.5,-0.1,($0.4),0.1,51,-0.08,-0.31,0.23,0.30,0.03,1.00,,0,-0.03,-0.05,52.2%,93.2,32.8%,83.2,,,9.0%,79.3,6.0%,83.0,,,,,,,-0.2,0.0,,-0.4,0.0,,,-0.60,-0.03,,-7.45,-0.43,,,42.4%,76.5%,59.7%,57.1%,76.9%,70.0%,50.7%,58.8%,17.9%,-0.1,34.3%,,,,,17.9%,38.8%,3.0%,,,6.0%,,,,92.5,,,,,94.3,82.7,77.8,,,83.2,,,-1.2,,,,,-11.0,-0.5,-5.5,,,-0.2,,,8.4,,,,,4.8,1.6,-7.0,,,-0.5,,,-0.4,,,,,0.2,-0.2,-0.2,,,0.0,,,-1.86,,,,,1.81,-0.81,-11.85,,,-0.43,,,35.7%,76.9%,59.7%,60.0%,73.3%,70.0%,58.2%,18.5,0.0,0.0,-0.2,30 - 30,-1.1,0.0,0.1,42.9%,35.7%,21.4%,28.6%,42.9%,28.6%,17.6%,6.0%,,3.0%,35.8%,,,,,16.4%,38.8%,,83.8,,78.4,93.1,,,,,94.6,83.2,,0.3,,-5.7,-1.3,,,,,-10.6,0.1,,-1.7,,-8.3,7.5,,,,,3.2,0.3,,0.0,,-0.2,0.1,,,,,-0.3,-0.2,,-0.43,,-11.85,0.31,,,,,-2.59,-0.81,,37.0%,75.0%,59.7%,60.0%,73.3%,70.0%,59.7%,18.5,,101,0,80,73,92,78,98,116,116,75,0,106,102,87,171,84,88,86.0,10.6,0,0.0%,110.5,6,42.9%,14,11.9%,29.9%,.299,.369,.293,-0.1
